#{"t_start": 1646238557.6843512, "env_id": null}
r,l,t
-158,158,7.786024
-599,200,7.811776
-599,200,7.837956
-599,200,7.868113
-77,77,7.879573
-599,200,7.906319
-174,174,7.930315
-92,92,7.943349
-599,200,7.969202
-110,110,7.98448
-599,200,8.015271
-599,200,8.041179
-599,200,8.067113
-599,200,8.093184
-101,101,8.107733
-599,200,8.134375
-599,200,8.167402
-599,200,8.193533
-192,192,8.218785
-157,157,8.239663
-599,200,8.265502
-600,201,8.295775
-599,200,8.321877
-141,141,8.340907
-599,200,8.367745
-599,200,8.394623
-170,170,8.42189
-189,189,8.446896
-599,200,8.472686
-599,200,8.498439
-599,200,8.523511
-599,200,8.553413
-172,172,8.576108
-599,200,8.601515
-599,200,8.627852
-599,200,8.654143
-599,200,8.679979
-187,187,8.708835
-599,200,8.733956
-598,200,8.759603
-599,200,8.784801
-107,107,8.79936
-599,200,8.828612
-599,200,8.854632
-96,96,8.868145
-599,200,8.895391
-164,164,8.917866
-599,200,8.943375
-85,85,8.959839
-599,200,8.985573
-599,200,9.010838
-599,200,9.036366
-599,200,9.061746
-156,156,9.08251
-599,200,9.11409
-149,149,9.135043
-599,200,9.160338
-599,200,9.186476
-192,192,9.211595
-113,113,9.231466
-599,200,9.256957
-136,136,9.275147
-599,200,9.300647
-100,100,9.314515
-148,148,9.334624
-599,200,9.366302
-599,200,9.392133
-599,200,9.41763
-599,200,9.443354
-599,200,9.469289
-599,200,9.499701
-599,200,9.52558
-599,200,9.550281
-95,95,9.563457
-599,200,9.589682
-599,200,9.616867
-178,178,9.645273
-599,200,9.671052
-599,200,9.696246
-184,184,9.720616
-599,200,9.745893
-99,99,9.759516
-599,200,9.789691
-599,200,9.814952
-599,200,9.840985
-143,143,9.860802
-599,200,9.886589
-101,101,9.904923
-150,150,9.924959
-139,139,9.943586
-176,176,9.966709
-599,200,9.992396
-599,200,10.018312
-599,200,10.048141
-599,200,10.074086
-175,175,10.097385
-599,200,10.122723
-172,172,10.145249
-152,152,10.165453
-112,112,10.18526
-599,200,10.210505
-599,200,10.236675
-599,200,10.262521
-599,200,10.288291
-181,181,10.31699
-599,200,10.343664
-190,190,10.36873
-599,200,10.394743
-599,200,10.420049
-599,200,10.450144
-121,121,10.466684
-191,191,10.491901
-599,200,10.517179
-173,173,10.540165
-599,200,10.566603
-599,200,10.598291
-599,200,10.623739
-599,200,10.6496
-599,200,10.674607
-599,200,10.700165
-599,200,10.729969
-599,200,10.75598
-599,200,10.78199
-174,174,10.804829
-599,200,10.831154
-115,115,10.852602
-109,109,10.868062
-158,158,10.888939
-200,200,10.915077
-599,200,10.940625
-599,200,10.96576
-599,200,10.99595
-123,123,11.0125
-599,200,11.037967
-599,200,11.064675
-599,200,11.090766
-182,182,11.119658
-101,101,11.133585
-600,201,11.159057
-199,199,11.184765
-599,200,11.210427
-599,200,11.23585
-599,200,11.265873
-158,158,11.286756
-599,200,11.313154
-599,200,11.339527
-599,200,11.365508
-599,200,11.395937
-599,200,11.421355
-599,200,11.446218
-172,172,11.468623
-138,138,11.486853
-69,69,11.496671
