#{"t_start": 1648051044.8506536, "env_id": null}
r,l,t
-38,38,2.568272
-46,46,2.570694
-77,77,2.574812
-3,3,2.57513
-60,60,2.580359
-122,122,2.58635
-599,200,2.595833
-131,131,2.602262
-19,19,2.60335
-28,28,2.604873
-13,13,2.6057
-16,16,2.606627
-62,62,2.609766
-104,104,2.616287
-76,76,2.62021
-148,148,2.627304
-20,20,2.628431
-3,3,2.628774
-63,63,2.633976
-49,49,2.636512
-23,23,2.637768
-17,17,2.638786
-15,15,2.639662
-26,26,2.641133
-26,26,2.64269
-3,3,2.643022
-11,11,2.643733
-3,3,2.644032
-33,33,2.645797
-59,59,2.648806
-26,26,2.650234
-48,48,2.652771
-10,10,2.653433
-7,7,2.653981
-101,101,2.660642
-2,2,2.660931
-9,9,2.661557
-24,24,2.662899
-4,4,2.6633
-12,12,2.664048
-20,20,2.665184
-29,29,2.666754
-15,15,2.667652
-15,15,2.668572
-108,108,2.674072
-15,15,2.67501
-43,43,2.677252
-10,10,2.677894
-102,102,2.682833
-24,24,2.684253
-187,187,2.709342
-51,51,2.71199
-35,35,2.713828
-12,12,2.714569
-4,4,2.715099
-38,38,2.717178
-134,134,2.723638
-2,2,2.723922
-89,89,2.728382
-42,42,2.730556
-7,7,2.731066
-106,106,2.736258
-7,7,2.736757
-11,11,2.737483
-22,22,2.738859
-6,6,2.739312
-39,39,2.741348
-599,200,2.750848
-11,11,2.751571
-17,17,2.75259
-13,13,2.753381
-45,45,2.760108
-51,51,2.76275
-118,118,2.768503
-56,56,2.77149
-50,50,2.774017
-79,79,2.777948
-47,47,2.780421
-72,72,2.783997
-11,11,2.784705
-13,13,2.785489
-8,8,2.786068
-15,15,2.787003
-21,21,2.788204
-41,41,2.790475
-19,19,2.791564
-85,85,2.795677
-16,16,2.796639
-178,178,2.809026
-21,21,2.810207
-5,5,2.810619
-27,27,2.812094
-14,14,2.812919
-71,71,2.823175
-68,68,2.826761
-147,147,2.833904
-4,4,2.83427
-10,10,2.834917
-10,10,2.835573
-69,69,2.839019
-49,49,2.841577
-80,80,2.84552
-9,9,2.846146
-36,36,2.848056
-124,124,2.856754
-25,25,2.858137
-104,104,2.863194
-105,105,2.868305
-16,16,2.869273
-137,137,2.882751
-25,25,2.884185
-18,18,2.885253
-164,164,2.893121
-76,76,2.896907
-88,88,2.903418
-150,150,2.910649
-17,17,2.911649
-41,41,2.913841
-14,14,2.914683
-4,4,2.91504
-44,44,2.917321
-5,5,2.917719
-15,15,2.918635
-21,21,2.919809
-14,14,2.920819
-10,10,2.921482
-157,157,2.929082
-20,20,2.930204
-18,18,2.931256
-186,186,2.942325
-37,37,2.946364
-77,77,2.950219
-25,25,2.951586
-66,66,2.954851
-19,19,2.956062
-54,54,2.959056
-18,18,2.960229
-102,102,2.965305
-58,58,2.968282
-85,85,2.972529
-74,74,2.976258
-19,19,2.977368
-22,22,2.978583
-12,12,2.979326
-24,24,2.980802
-35,35,2.982685
-94,94,2.987302
-7,7,2.987788
-127,127,2.997475
-7,7,2.998023
-7,7,2.99852
-64,64,3.001727
-24,24,3.003053
-91,91,3.007533
-41,41,3.009789
-26,26,3.011238
-5,5,3.011631
-83,83,3.015761
-41,41,3.017873
-93,93,3.02235
-94,94,3.026927
-13,13,3.027751
-11,11,3.028461
-40,40,3.030554
-20,20,3.031827
-28,28,3.033377
-7,7,3.033878
-14,14,3.034747
-21,21,3.035916
-81,81,3.04154
-25,25,3.042915
-15,15,3.043815
-109,109,3.051139
-68,68,3.054636
-111,111,3.060188
-85,85,3.064528
-3,3,3.06489
-30,30,3.066532
-33,33,3.068309
-76,76,3.072122
-2,2,3.07241
-36,36,3.074304
-16,16,3.075261
-26,26,3.076692
-36,36,3.078696
-106,106,3.084366
-59,59,3.088387
-82,82,3.092444
-66,66,3.095717
-66,66,3.099088
-79,79,3.105021
-7,7,3.105568
-8,8,3.106087
-97,97,3.110942
-107,107,3.116253
-9,9,3.116899
-8,8,3.11747
-52,52,3.120073
-94,94,3.124711
-59,59,3.127721
-10,10,3.128372
-70,70,3.133394
-94,94,3.137983
-60,60,3.140991
-14,14,3.141991
-18,18,3.143069
-26,26,3.14449
-74,74,3.148164
-74,74,3.1518
-61,61,3.154898
-62,62,3.16
-21,21,3.161196
-46,46,3.163587
-49,49,3.166093
-34,34,3.16805
-30,30,3.169656
-111,111,3.175061
-5,5,3.175513
-13,13,3.17631
-33,33,3.179619
-41,41,3.181718
-13,13,3.182503
